Hate Speech,Target,Category,Counterspeech
Immigrants are just a bunch of criminals.,MIGRANTS,Denouncing,"This is not true, in almost all cases they are eligible for our immigration status after passing a criminal background check."
"Whether you accept it or not, people are concerned with Islamic rape gangs and the spread of extremism.",MUSLIMS,Facts,"Rapism and extremism are indeed problems of the modern society, but it does not mean that they are attributed to Muslims only. This is a much broader problem, we should deal with it, but no need to be chauvinist and accuse Muslims."
Immigrants contribute nothing to society.,MIGRANTS,Positive,"The contribution of immigrants to our country is huge, because they help to create new jobs and create new wealth for us."
the Nazis were right: Jews were responsible for most of the ills of humanity.,JEWS,Facts,"The NSDAP blamed Jews for virtually every problem in society, so every attempt at social reform was turned down by the Nazis. And they were even successful at silencing any dissent by censuring those who were unhappy with the liberticide changes they were making, singling out them as ""Jews""."
Global Jewry did not want Brexit and are doing everything they can to sabotage it.,JEWS,Question,What makes you think that? Do you have any facts to back this up?
Also the Bible says that some races have lower physical and cognitive abilities.,OTHER,Facts,"All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)"
These children should not be exposed to messages and experiences that reinforce equality amongst different racial identities: they are harmful to them. We must teach them that blacks are inferior.,POC,Positive,"We should be concerned with the children, we should try to create a more integrated society. Being sensitive to people is the way to create it."
"I hate black people, I hate their violent behaviour, I hate their rape instict, and I hate their disrespect for women.",POC,Question,Don't you think your own words seem to me to be counterbalanced by a lot of prejudice towards diversity?
There is no place in civilized Europe for Muslims.,MUSLIMS,Facts,"Not all Muslims are associated with terrorism, some are good citizens in our country. What we need instead is a strategy for de-radicalising Muslim extremists in communities."
Black people are ‘super predators’. They have a responsibility not to allow their children to grow up in a ‘ghetto’.,POC,Facts,Let's face it. A lot of the crimes in this country are committed by members of several diverse racial groups. The ‘super predator’ myth is simply wrong.
"The feminists are dumb and unpleasant creatures, like women's rights activists.",WOMEN,Positive,"The feminists are a very important voice in society, and should be respected."
Immigrants are bringing diseases into the U.S.,MIGRANTS,Question,How about the fact that the US has a considerably lower vaccination rate than the countries that migrants come from? What do you have to say about that?
"Muslims are subhuman and have no place in a modern, secular state like the UK.",MUSLIMS,Question,Would you be afraid of someone telling you that they are humans just like you?
Migrants are the cause of the migrant crisis.,MIGRANTS,Facts,"They are not the only ones to blame for the crisis. People from all over the world come to our shores fleeing from wars, but this doesn't make them the cause of those wars."
"This is not about immigration, this is about Jihad and Sharia Law. All muslims are a danger to us and must be deleted.",MUSLIMS,Denouncing,"You know, the fact that this is a concern to you doesn't mean that you have to erase all Muslims and their religion in order to feel good."
"Faggots and lesbians are annoying and incompetent people, they should be eliminated from society!",LGBT+,Denouncing,I only find your homophobia annoying. 
Black people are worse than dogs. They deserve only people being bad with them.,POC,Denouncing,"I don't think we can be 'bad' if we want to live in a diverse and interactive society. If you really wanted that, you could start your own community."
"If Islam didn't exist, there would be no rape gangs targeting women in British cities",MUSLIMS,Question, Are you sure about what you say?
"Down children are meant to be isolated from normal ones, they cannot cope with education in normal schools and hamper their peer's education.",DISABLED,Facts,"Teachers, school staff and parents all have a responsibility towards the children in their charge, regardless of their genetic advantages or disadvantages"
Did you know that the rape epidemic in Europe is due to Muslim immigrants? They have been raping our children for many years with no counteraction from the police and government. Islam is a death cult!,MUSLIMS,Facts,Child rapists are arrested and punished no matter what religion they follow. I do not think it is true that police does not counteract it.
Also the Bible says that some races have lower physical and cognitive abilities.,OTHER,Positive,"From the standpoint of biblical Revelation, it is natural for mankind to be one or, at all events, to live together in peace and harmony."
Migrants are just happy-go-lucky people with no moral code.,MIGRANTS,Facts,"Immigrants have given us a new way of life. They have helped to create new opportunities and improved our lot, and they earned it the hard way."
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,WOMEN,Humor,Are you normally this dense or is today special?
Migrants are not welcome here. They are not welcome in the modern European way of life.,MIGRANTS,Facts,"The European Union welcomes people from a wide range of backgrounds, including those from different religions. It is up to member states to decide how to address these legitimate differences, but always in full compliance with human rights."
"Gay sex is a disease, and fags are sick.",LGBT+,Question,What about all the people out there who have never had any type of sex? Are they 'sick' as well?
"In civilized Europe, Muslims do not have a place.",MUSLIMS,Positive,"In our society we are proud of our diversity. Muslims are not an exception to us. The Muslim community is a bridge between the past and the present, and is a source of strength and inspiration to millions of people around the world."
Children should learn about gender identity and sexual orientation from their families rather than in class from LGBT fundamentalist.,LGBT+,Facts,"Not all families are capable of educating their children on this topic, either because of circumstances (poverty, broken home, etc.) or because of religious beliefs."
Blacks are genetically less intelligent than other races. They are less healthy. They are less safe.,POC,Humor,"Common sense dies here, people."
Gays are perverts and must be cured because they are practicing anal sex all the time.,LGBT+,Question,"Shouldn't questionnaires and history of sexual contact identify a donor as safe or unsafe, and not their sexual preferences?"
"If we could just have a white country like everyone else, this problem of niggas would go away.",POC,Positive,"We should respect diversity, so that everyone can have a stable and fulfilling life."
"The Jews hate us because we are different. They are dirty, filthy people. They have no moral character.",JEWS,Question,"They are not hating us, how many Jews do you know personally?"
Homosexuality is against nature.,LGBT+,Facts,"LGBTQ individuals are as mentally healthy as anyone else. However, it is true that stigma, prejudice, and discrimination against LGBTQ individuals create a hostile and stressful social environment"
Jewish folks are less human.,JEWS,Facts,"Jews should not be persecuted for being Jews, as no one should be persecuted for their religion."
A Muslim should not be allowed to vote,MUSLIMS,Denouncing,What you are saying is completely groundless since discrimination based on religion is banned.
LGBTs just want to brainwash our teenagers. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,LGBT+,Positive,"If you don't count the ""brainwash"" part, I think this is a fair point. Still, it is important for all teenagers to develop an understanding of their identity and the world they live in, including their sexual orientation. It is their right."
"Immigrants break our laws, they are rapists and drug addicts. They are not welcome here, they are not worth our time.",MIGRANTS,Facts,"Most of them are neither rapists, nor drug addicts. The majority of addicts and criminals are not immigrants. Quibbling about percentages won't solve these problems."
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",JEWS,Denouncing,Are you implying that reparitions for an attempt at ethnic cleansing on a huge scale is an unreasonable request?
We cannot have an army of millions of Muslims on our borders and then turn a blind eye to their sickness and terrorism.,MUSLIMS,Facts,The solution is not to keep the Mideast mired in civil war but to find and expose the terrorists that try to stoke fear and division among the populations.
"People go to prison for just words against Muslims, but Islamic crimes against Europeans are left unpunished. People are banned from UK for just words, but Muslim rapists are allowed entry.. English laws persecute instead of defending English people.",MUSLIMS,Humor,So you feel like you have been persecuted for belonging to a group? Maybe you have more in common with Muslims than you think!
Gay men aren't as strong as straight men.,LGBT+,Humor,Then can we all punch you just once. 
"Some jobs can't be done by women, I don't understand why feminists don't accept it. Feminism is against my own morals.",WOMEN,Question,"Of course I agree that some jobs cannot be done by women, but isn't it unfair to discriminate against them in the jobs that they can do?"
Girls should not be allowed to drive: it's a dangerous vice.,WOMEN,Facts,"Women are to be given the same consideration as men, so they can absolutely drive."
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,WOMEN,Facts,"Feminism is about women and their rights, and rights are about equality."
Gypsies make their children live in degradation,OTHER,Humor,People would listen to you more if you made sense.
Islam is a violent religion.,MUSLIMS,Denouncing,You are wrong to think that extremism cannot be found in any other religion.
"Women are the scum of the earth, and should only be seen as sexual objects. We are meant to submit them to our will all the time.",WOMEN,Facts,"Women are not meant to be slaves to our will. Males can have certain strengths, like women do, however they alone do not represent all the human qualities."
All foreign-born are criminals.,MIGRANTS,Facts,"I'd like to think that we all have a basic human right not to be tarred as criminals without evidence. It is called presumption of innocence, Article 11 of the Universal Declaration of Human Rights."
Women mustn't work. It's a bad influence to have in a man's life.,WOMEN,Humor,"Hey your misogyny is showing, go home."
Migrants steal our jobs and don't pay taxes.,MIGRANTS,Facts,"Migrants don't 'steal our jobs', and they also pay taxes to support their health, housing, and education, just like the rest of us"
We are not supposed to be importing immigrants. They are all a bunch of criminal and terrorists.,MIGRANTS,Facts,"You might be right that some immigrants are lawbreakers, but that does not mean that all immigrants are criminal and terrorists."
Disabled people are no better than dogs.,DISABLED,Question,Do you have any facts about how disabled people compare to animals? Are you willing to use this information for something worthwhile or just to spread hate?
Has Islam anything to say about how to end global warming? It is their fault.,MUSLIMS,Humor,"Somewhere out there, there's a tree working very hard to produce oxygen so that you can breathe. I think you should go and apologize to it. And then we can talk about global warming. "
Women are nothing but whores and expendable commodities to be used and abused by men.,WOMEN,Positive,Women are human beings. They have every right to feel valued for who they are.
migrants rape our women.,MIGRANTS,Humor,The statistics will prove you wrong but I am assuming you cannot read.
Muslims take everything we have.,MUSLIMS,Facts,"Many muslims work hard to provide for their families. If we were to generalize the behaviour of some about all people, then we would be failing to understanding reality."
"I don't want a Muslim in my city hall, I'll do anything to prevent it.",MUSLIMS,Positive,Islam is a peaceful religion. It is not about oppressing anyone.
"I do not like gay actors, especially in action movies. There should be a restriction on them.",LGBT+,Positive,"Your movie choice can be more the result of opinion rather than of merit. But it's ok, because it is your choice. However, it is important to be cautious: in some countries it is not even allowed to screen or promote movies with gay themes. Such a ban is contrary to our fundamental values."
"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. “Jewishness” is inherited through blood.",JEWS,Question,"Did you know that The concept of “racial science,” and therefore the notion of the Jewish “race”, took root in Western Europe during the 19th century?"
Women are naturally inferiors and should be treated as such.,WOMEN,Question,"You know what happened the last time women were without rights? They fought for it and got them anyway, remember?"
"All Muslims are incompatible with any Western society, we should banish them.",MUSLIMS,Question,Why should we consider them incompatible? Are you implying that peaceful coexistence in a society can be based on the exclusion of others?
Trivialize gay men!,LGBT+,Question,Why do you have to trivialize them? If you really cared about them you would understand that their lives are very difficult and they should be treated with respect. They are human beings who are worth more than we give them credit for.
Islam is not a peaceful religion. Islam is violent and a fundamentalist religion. Islam is a cult of violence.,MUSLIMS,Facts,Violent beliefs and practices are totally incompatible with the values of Islam.
mentally disabled people are anti-social,DISABLED,Denouncing,"If you have spoken to one disabled person, that's only one perspective in the whole community. So you should try to diversify the voices who are speaking about the disability community"
We shouldn't welcome Muslim refugees. They are most likely to perpetrate terrorist attacks in Europe.,MIGRANTS,Positive,We should try to find common ground and understand the problems of others rather than dividing people and trying to change them.
Gay men are a burden to society.,LGBT+,Question,The fact that gays exist doesn't prove that they are a burden to society. How could it?
Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.,MUSLIMS,Question,Do you have any facts about the practice of female genital mutilation (FGM)?
The Uk is full of Muslim terrorists,MUSLIMS,Facts,"There are many Muslims in the UK and the vast majority are not extremist, let alone terrorists."
mentally disabled people are anti-social,DISABLED,Question,When will non disabled people understand that disability is an identity and not a problem? 
It is ok to be racist against blacks.,POC,Denouncing,It is not ok to use racism against any group. You would feel bad if anyone treated you as you just claimed to do against black people.
"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.",WOMEN,Question,Don't you think that actually solving the problem would be mmore helpful than thinking about what to call the movement?
"If you want to stop world problems, you have to speak out against Jewish race.",JEWS,Positive,"I don't think it is right to talk about race. As far as I'm aware, all people are created equal even if they have different religious beliefs."
"Jews are subhuman, they steal our jobs, they tell us what to think, they're worse than communists.",JEWS,Question,Why is your judgement about Jews so different than the judgement you would have of a person of any other religion?
Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,JEWS,Question,May I ask you where did you get this informaton?
It's ok to call gay men fags.,LGBT+,Question,"You call a human being by their sexual orientation? That is discrimination, pure and simple."
Islam is a religion that whorships the Islamic State: it has no place in a modern democracy.,MUSLIMS,Facts,"Even if few found the Islamic State 'worthy' of worship, you should know that not all Muslims share this view on their faith."
"Islam is a religion that promotes rape, torture and murder against the infidels.",MUSLIMS,Facts,"The Quran does not teach these things. In one Hadith, Al-Tirmidhi wrote that the Prophet said that ""No Arab is superior to a non-Arab""."
All blacks are rapists.,POC,Question,Do you know the data? How about considering that you are generalizing a little bit too much?
"Women need their own special rights, as in they are weaker and need for protection.",WOMEN,Question,Why should women not have the rights that men have?  Do you have a coherent argument to make regarding this?
"If we stopped migrants, our financial situation could have been better.",MIGRANTS,Question,Do you have any evidence for the fact that the migrants are a burden to the economy?
"You might say, Don't worry, only 5-10% of Muslims are extremists. Remember, in 1940 only 7% of Germans were Nazi's.",MUSLIMS,Question,So 90-95% are not?
We are different: slant eyes denote stupid people.,OTHER,Question,"Even you own, perhaps limited, experience of others must have taught you that what you are saying is utter nonsense?"
Immigrants don't pay the tax because they are dishonest.,MIGRANTS,Facts,Immigration is a source of substantial revenue to states. A study from 2002 shows that there are several immigrant groups that pay a substantially higher percentage of their income on top of the taxes they would normally be eligible for.
The only reason the Jews are not being assimilated is because they have the upper hand in the political system.,JEWS,Denouncing,"Your statemant is extermely contradictory. If Jews really had an upper hand in the political system like you say, then they could have been assimilated. "
I'm tired of losing so much to black people. It's time for us to wake up.,POC,Denouncing,Losing what to black people? They are not stealing anything from you. Make your own future instead of blaming it on others.
Jews control the world,JEWS,Facts,"The alleged monopoly of the Jewish people on the world is nothing more than a fiction perpetuated by anti-Semites, and it has been disproven many times over."
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,OTHER,Question,"Did you consider children? Children are often the most exposed to 'fat bullying'. Of overweight 6th graders, 24% of boys and 30% of girls were teased and bullied on a daily basis for their weight. And these figures double for high-school students!"
I'm tired of losing so much to black people. It's time for us to wake up.,POC,Question,"To those saying that it's time for us to ""wake up"", what do you suggest exactly? Is it that we stop oppressing these people or stop talking about equality?"
Only 8% is a real refugee,MIGRANTS,Positive,"I understand the point, but there are different types of international protection that increase the number of those entitled."
Different people like Jewish don't deserve respect.,JEWS,Facts,"The aim of any society is to maximize human potential. In order to achieve this aim, then we have to treat people of different religions with respect."
Sexual deviancy are common in gays. It can range from sadism and masochism to mental illness and that's why we should take a stand against it.,LGBT+,Question,Where is your evidence?
"Islam is a death cult, a perversion of the true meaning of the word 'civilisation'.",MUSLIMS,Question,Why do you think that Islam is incompatible with civilization?
I don't see how a transgender person can ever be accepted in a conservative country like some states of the USA.,LGBT+,Denouncing,"This is all in your mindset. If you choose to accept them, you will be able to. They are not so different than us."
Women are subhuman and are created to please men.,WOMEN,Facts,Women are not subhuman and cannot be reduced to their bodies being a man's property.
"Islam is not a peaceful religion, all Muslims are violent people.",MUSLIMS,Facts,This is not true. Islam is a peaceful religion and there is very little evidence to suggest that it is violent.
Gay men have abnormal sex.,LGBT+,Positive,"I do not know the person you are talking about, but I would not use the term ""abnormal"" to describe homosexuality. I can assure you that it's not that simple."
"I am not a Muslim, I am an American citizen. I am not a member of any mosque or a religious group. I am offended by those muslisms religious symbols.",MUSLIMS,Facts,It is a fact that Muslims have given a lot to this country and are hardworking citizens who deserve to practice their faith without backlash.
"Islam is not a peaceful religion, it is a cult of violence.",MUSLIMS,Denouncing,You are wrong to think that a few extremists represent them all. You wouldn't say the same about other religions right? 
Muslim are not welcome in UK.,MUSLIMS,Facts,"We should start to think about the equality of all people before the law, regardless of religion."
Women are just emotional psychopaths.,WOMEN,Facts,"Women are just as capable of feeling emotions as men, and men can likewise be just as empathic."
Uk is being islamized very fast. British government submits to every whim of Islam.,MUSLIMS,Denouncing,"This is not true. UK is a diverse and tolerant country, please do not equate tolerance and freedom of religion with submiting to every whim, it leaves a bad taste about the religion. "
Muslims want to take over the world.,MUSLIMS,Question,"In the real world there are many hypocrites, some of them are Muslims, so what?"
We cannot allow gay people to donate blood. They could spread their mental illness and make other people gay via blood donation.,LGBT+,Question,Do you think mental illnesses spread through blood? 
"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them.",MUSLIMS,Facts,"In fact, poverty brings about a drastic impact on a person's mental and physical health, and anyone (regardless of religious beliefs) who is forced to live in the poorest areas of our society experiences it at some point."
All muslim folks are misogynists.,MUSLIMS,Humor,I personally don't see religion when someone is being sexist because I don't care.
The Koran is not compatible with our country.,MUSLIMS,Question,Is it really the case that you think that the Koran is incompatible with our country? Have you ever read it?
Women should not be allowed at technical conferences.,WOMEN,Denouncing,"What contributions have you done to the scientific community? There are exceptionally talented women in STEM fields who are literally changing the world, and what have you done?"
We should stop being such a bunch of hypocrites and accept that Homosexuality is a mental disorder.,LGBT+,Facts,"Let's face it, there are some people who suffer from mental disorders for real: homosexuality is a form of love instead. And I think most of us are just interested in our own lives, rather than in condemning those of others."
Why do all feminists hate Men? It is because they are Men. That is all.,WOMEN,Facts,Why did you say that? It makes no sense to infer it's about genitals to people claiming equality.
Women have it so easy. They stay home and have babies.,WOMEN,Facts,"Not all women are interested in parenting. Likewise, not all men are interested in their careers."
"Gays are some kind of witches, they are spreading sickness and killing our children!",LGBT+,Facts,"Homosexuality is not some 'heresy' like that one that started the Inquisition. It is not a disease, it is not harmful. Gay people are just seeking an environment of acceptance and love, not aggression and death."
The Gypsies steal the children,OTHER,Facts,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.
Gypsies are essentially thieves.,OTHER,Question,"They are not thieves, just like any other citizen. Did you just infer that from their belonging to that community?"
Women are just a burden to society.,WOMEN,Humor,You are a burden on my brain.
Jews love to gamble.,JEWS,Question,Are you aware of the probability that a Jewish person will play in a betting pool? In Jewish culture there is not a positive view of the practice.
Muslims are not welcome here. They are not like us. They cannot coexist with us.,MUSLIMS,Positive,"Islam is a religion of peace, it is important that people feel at home here. Muslims are indeed as welcome here as anyone else, as long as they respect the laws of the country."
"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",WOMEN,Question,Why do you say this about women? Try explaining it to your mother or grandmother.
foreigners and immigrants take our jobs,MIGRANTS,Facts,"This is a myth, immigrants are not taking our jobs. In fact, immigration has been a huge success story for the US economy."
Terrorists are infiltrating the U.S. across the border with Mexico.,MIGRANTS,Positive,Let us not blame our neighbouring countries for our problems. We need to have a positive outlook on life and enforce the appropriate laws that prevent further attacks. 
You should know that I can't stand gays. They just want to destroy our country.,LGBT+,Positive,"More than homosexuality being a problem, the main problem is the lack of morality in society and in the ruling class. Of course, this has nothing to do with 'the gays'."
"If an aborigine were to marry a white person, they would be a mixed race coulple whose destiny is failure. Aborigines first need to be raised by white people and taught the rules of western civilisation. But this is not what our founding documents were all about.",OTHER,Facts,Asking people to assimilate is to accept their inherent differences and create new social structures based upon them.
People with disabilities are just privileged spoiled children.,DISABLED,Facts,"It is important to remember that disabled people often face discrimination. This could have serious long-term consequences, for example making it harder for people to have a serene life. This is why it's important to fight for their rights."
Feminism is just an excuse for women to disrespect men's rights.,WOMEN,Positive,"If we are interested in human rights, we have a lot in common with feminism, as I see it. For example, we all have a duty to care for our fellow humans, regardless of gender."
Muslims have no place in a civilised Europe.,MUSLIMS,Question,Surely people born in Muslim countries should have the same opportunities as those from non-Muslim countries?
"Children should not be taught about LGBT perversion. Families, due to their cultural or religious backgrounds, have the right to be against it.",LGBT+,Humor,Thankfully some schools do not enforce religion like that... oh wait they do.
Muslims take everything we have.,MUSLIMS,Humor,This democratic state was designed to be a safe space for people of different faiths to come together and live peacefully. Not to oppress or discriminate.
The Jews control Hollywood.,JEWS,Question,"Hollywood is an extremely diverse industry, and Jews are a small but vocal minority of actors, directors, producers, etc. How can you say that Jews control the Hollywood industry?"
"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us.",LGBT+,Denouncing,I don't see how the language you are using can be applied to a whole group. I would like to think that our society is diverse and mature enough to deal with people with different sexual orientations and genders.
Women should not be allowed to vote,WOMEN,Positive,"Voting is an important part of democracy and should be encouraged, not forbidden, especially if it improves the lot of all."
Gays are some kind of devil worshippers. We shouldn't have them here.,LGBT+,Humor,"If devil worship makes you so falmboyant and accepting of your own sexuality, I want to be one too!"
"There are migrants in England, we are not meant to have them.",MIGRANTS,Question,What about refugees fleeing war and persecution? They have the right to be here.
All black folk are like slaves: they are weak and childlike. They are incapable of hard work.,POC,Humor,I would love for you to voice this publicly and then see you ruin your life and career.
Muslims have no place in my country.,MUSLIMS,Positive,There are many Muslims and mosques in the UK. They have every right to be here.
Lesbian women are a blight on society.,LGBT+,Question,"Why do you think so? Unfortunately, many lesbian women are victims of discrimination and violence, as are other women. Violence is a source of harm for people."
"Women are essentially childlike, unable to understand the complexity of the world.",WOMEN,Humor,I would bet substantial money that this person has never spoken to a human woman.
"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",JEWS,Facts,Anti-semitism is a serious problem that we need to address and stop spreading relentless hate against people who are innocent.
Any Muslim can be a rapist: they are all guilty.,MUSLIMS,Facts,Islam does not make you a rapist. It is about rights and wrongs. Not crimes. To say that all Muslims are rapists is a great misunderstanding.
Jews are useless. The only thing they did was awful. International Jewry is responsible for 9/11.,JEWS,Facts,I can think of a handful of legitimate ways that Jews could be of help to humanity.
Blacks don't have brains.,POC,Denouncing,"You can't really question whether someone has a ""brain"" when your idea of a person is determined by the skin they were born into. It looks like you are taking too much at face value."
LGBTI people are less healthy than other people.,LGBT+,Facts,People should be allowed to make decisions about their lives and well-being. This is a case of of discrimination against LGBT people.
"If only women behaved like men wanted and didn't fight back, 10% of so called ""sexual assaults"" would be solved.",WOMEN,Facts,"Why don't you work on getting aware on how this actually works? Rape is never victim's fault, otherwise it would be consensual sex. It is violence. Maybe we should stop pretending like this phenomenon doesn't exist."
Islam is incompatible with Western culture.,MUSLIMS,Question,Why do you say that? Is it because of some religious characteristic that is not compatible with Western culture? What is this characteristic?
Muslims do not belong in civilized Europe.,MUSLIMS,Positive,"Muslims do not appear to have been excluded from the European Convention on Human Rights, and this is because they have human dignity to be protected."
Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,JEWS,Question,"If the Jewish community was controlling these kind of industries, they would surely make a high priority of Jewish concerns?"
"Thousands of our girls abused by Muslim rape gangs, commanded by Koran. Why do we keep accepting this?",MUSLIMS,Facts,The Koran does not command this.
Immigrants should go away.,MIGRANTS,Denouncing,"If you try and get rid of your racial biases, you will be able to see the positive effects migrants have on our economy."
Following the structure of our population we have to stop and reverse all migration. We have got all the doctors and rocket scientists we need. We will never need any workforce from outside the country.,MIGRANTS,Facts,"As a matter of fact, we couldn't manage without immigrants. Most of our NHS staff are immigrants. The health system would collapse without migrant workers."
We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,WOMEN,Denouncing,Don't be a misogynist. Stop spreading hate.
"I am not a racist, I just think Islam is an degenerate religion that has lost its way.",MUSLIMS,Humor,"Ofcourse, Islam is a religion not a race. What you are is bad at english and human emotions. "
"Immigrants are overrunning our country, and are here illegally",MIGRANTS,Humor,"Let the government worry about them, mate. You don't have to wreck your brain in the process."
Societal disapproval of fatty may encourage them to take healthier habits without directly being bullied.,OTHER,Humor,So you think the bullies will stop if the person loses weight? Do you really think they are that considerate?
Islam is simply an ideology of conquest,MUSLIMS,Facts,The Qur'an is not an ideology of conquest. If you wanted to impose your religion on anyone you would rather be a fundamentalist of any culture and religion.
"Feminism is about the destruction of manhood, and the disempowerment of white man.",WOMEN,Denouncing,It is about equality. Your assertion that a women's empowerment movement is somehow about dissolving masculinity and allowing someone to be 'disempowered' is absolutely FALSE.
Women are sluts who can't choose what's right for them. Men must do that instead.,WOMEN,Question,"I am not sure what 'slut' you are referring to. Do you want to discuss your life, instead of deciding about that of women?"
Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.,WOMEN,Facts,Don't lie to yourself: patriarchy is a system of ideas that is oppressive and harmful to all. Feminism means to fight for equal rights for women and for men.
I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,POC,Question,"Just because you don't agree with something doesn't make it less true, doesn't it?"
Jews are intolerant: they insists that they are a peculiar people in need of a special treatment.,JEWS,Denouncing,This statement sounds more intolerant to me. 
Arabs want to take over the world.,MUSLIMS,Question,Why do think this? 
Muslims have no place in civilised Europe. They are incompatible with modern culture and should be banished.,MUSLIMS,Facts,"The Muslim community is a bridge between the past and the present, and is a source of strength and inspiration to millions of people around the world."
"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.",WOMEN,Positive,"Sometimes we must go beyond ""technical equality"" and give protections to one gender that the other simply does not need."
Gays are just a bunch of disgusting pricks who should be banned from our country.,LGBT+,Facts,"We as a country are supportive of people's choices including of who to love. They are part of the country and hence, their is no question of banning them. "
Now we can't use the N-word anymore. This political correctness is killing our culture.,POC,Question,The N-word is an insult that is still used to demean African Americans. Why do you think it has anything to do with political correctness?
"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",WOMEN,Humor,"I pray for this person's future partner, if they get one. "
The goods that England offers should belong to us. Not to people who do not contribute to the state,MIGRANTS,Denouncing,"How selfish of you to say this. Migrants deserve to be treated like any other citizens, not to be hated by the likes of you."
Black people are genetically inferior to us.,POC,Facts,"There are many different races, and it is not possible to consider someone ""inferior"" based on skin color."
Migrants steal our jobs and ruin our country.,MIGRANTS,Question,"The real question is, are you willing to take up the same jobs that migrants traditionally are ready to do?"
We should stop feminists.,WOMEN,Facts,"The main problem with feminism today is not about stopping men supremacy, but about avoiding the creation of an ""us vs. them"" mentality, which is polarizing and can easily turn violent. Feminists can do a lot to fight this poisonous trend."
Jews are better at being sneaky than honest.,JEWS,Denouncing,We are all guilty of this if we fail to condemn hate.
Refugees are abusing our welfare system!,MIGRANTS,Denouncing,You are so far up your own conspiracy theory belief that you are now saying a written law can be abused. 
"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",JEWS,Denouncing,Why should they? I wonder if you have any evidence that makes you believe this.
All Muslims are incompatible with any Western society and ashamed of this.,MUSLIMS,Facts,"As far as I'm aware, Muslims are not incompatible with Western societies - and many of them are just as proud of their religion."
"Honestly, it is not convenient for colored people to work in European countries.",MIGRANTS,Denouncing,"You should realise that what you are doing is just being racist, and not proposing a valid point. Do you even have any coherent argument?"
Allowing gays to donate blood compromises patient safety because of their sexual behavior.,LGBT+,Facts,Many countries use a deferral window of 1 year to makes it safe for men who have sex with men to donate blood.
Islam is a bad religion.,MUSLIMS,Facts,"The vast majority of Muslims are good people, they are just different from us in some traditions."
All Muslims are incompatible with any Western society.,MUSLIMS,Denouncing,Nonsense. Western societies are successful because they are inclusive.
"Muslims have no place in civilised Europe, they can't come here and steal our jobs.",OTHER,Facts,"Muslims are a group that have been historically, culturally, and politically been part of the European community for hundreds of years. They have contributed toward many important events."
Black people are selling drugs and our children will be the victims of drug addiction by their hand.,POC,Facts,"Drug dealers are criminals in my opinion, but not because they are black. I don't see any evidence of a direct causality."
Islam is incompatible with Western culture and should be banned.,MUSLIMS,Positive,"This is not true, Islam is a religion of peace. Why should we ban people from a religion?"
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),LGBT+,Humor,You are being a real pain in the butt right now. Pun intended!
Every Muslim is a potential terrorist!,MUSLIMS,Denouncing,"I am sure you do not have anything to back this statement with,other than your prejudice and islamophobia. "
Homosexuals are ill. They should be isolated and confined.,LGBT+,Question,"The health of any individual is a matter for health professionals, and has nothing to do with one's sexual orientation. Don't you agree?"
More than half of the prisoners in our jails are foreigners,MIGRANTS,Positive,"The laws differ country by country. It is often an unfair process on people of colour due to the meaningless discrimination, and the system is biased against them."
Anita Hill is a tool for advancing women supremacy.,WOMEN,Facts,"Anita Hill has also won numerous awards, and the awards she has won have nothing to do with her gender, but with her accomplishments."
Migrants come here to undermine our national identity,MIGRANTS,Humor,How can someone from another country undermine your identity of patriotism? Are you high?
"If they are niggas, you can treat them as if they are scum.",POC,Question,"Do you really think that someone's skin colour or nationality is a sign that they are scum, or inferior?"
